Mes;07B1524;07B2529;07B3034;07B35;8B1524;8B2529;8B3034;8B35;12B1524;12B2529;12B3034;12B35;07CR1524;07CR2529;07CR3034;07CR35;8CR1524;8CR2529;8CR3034;8CR35;12CR1524;12CR2529;12CR3034;12CR35;07CB1524;07CB2529;07CB3034;07CB35;8CB1524;8CB2529;8CB3034;8CB35;12CB1524;12CB2529;12CB3034;12CB35;07M1524;07M2529;07M3034;07M35;8M1524;8M2529;8M3034;8M35;12M1524;12M2529;12M3034;12M35;07CH1524;07CH2529;07CH3034;07CH35;8CH1524;8CH2529;8CH3034;8CH35;12CH1524;12CH2529;12CH3034;12CH35;00B1524;00B2529;00B3034;00B35;00CR1524;00CR2529;00CR3034;00CR35;00CB1524;00CB2529;00CB3034;00CB35;00M1524;00M2529;00M3034;00M35;00CH1524;00CH2529;00CH3034;00CH35
2011-01;38777;16396;11828;8675;59832;31143;18055;9376;9239;12650;12483;7239;947;560;365;218;1494;558;319;111;195;330;285;167;101;62;38;52;5169;2244;1187;937;250;726;384;275;17610;10360;8058;5872;21036;15272;10446;5781;48128;16264;9189;5344;1084;512;508;627;5861;2996;2155;1659;1281;1779;1939;1390;107848;60189;42366;25290;1790;950;642;330;5520;3032;1609;1264;86774;41896;27693;16997;8226;5287;4602;3676
2011-02;36592;15530;11330;8575;57525;30107;17858;9295;8793;12243;12150;7069;892;442;273;209;1340;529;239;133;194;294;284;135;86;47;39;39;4267;1639;941;771;171;568;333;212;15607;9076;6929;5252;18525;13910;9483;5360;43072;14234;8027;4777;1023;507;470;552;5413;2623;1778;1483;1097;1487;1673;1216;102910;57880;41338;24939;1620;870;562;307;4524;2254;1313;1022;77204;37220;24439;15389;7533;4617;3921;3251
2011-03;42688;18098;13092;9816;67738;35382;21321;10994;9640;13614;13795;8102;972;541;350;232;1477;589;296;142;248;386;335;144;84;46;45;37;4164;1604;881;659;194;586;332;248;17268;10031;7665;5622;20362;15354;10641;5876;47842;16036;8950;5344;1085;533;536;586;6107;3079;2122;1779;1268;1853;2015;1421;120066;67094;48208;28912;1809;1021;676;323;4442;2236;1258;944;85472;41421;27256;16842;8460;5465;4673;3786
2011-04;40342;17038;12372;9434;63964;33590;19747;10343;8645;12423;12779;7327;956;548;337;213;1533;613;298;162;249;342;300;130;59;52;35;42;3925;1564;787;659;205;583;314;216;16680;9735;7380;5302;19372;14987;10401;5640;45728;15468;8567;4873;1015;478;443;561;5662;2804;1850;1573;1188;1695;1846;1323;112951;63051;44898;27104;1841;1007;633;334;4189;2199;1136;917;81780;40190;26348;15815;7865;4977;4139;3457
2011-05;42146;17853;13154;9959;67744;35726;21164;10850;8307;12455;13462;7902;1009;538;329;210;1522;598;295;161;249;347;320;141;70;39;39;41;4072;1713;847;673;156;602;339;195;17413;10018;7758;5627;20172;15579;10802;5984;47111;16101;8866;5372;987;515;454;551;5589;2773;1905;1583;1150;1712;1782;1349;118197;66034;47780;28711;1841;984;654;343;4298;2354;1225;909;84696;41698;27426;16983;7726;5000;4141;3483
2011-06;39397;16170;11997;9243;63949;33209;19525;10338;7490;11649;12524;7491;874;490;333;216;1527;597;316;163;248;333;307;163;78;51;64;41;4015;1722;902;641;241;652;355;211;16202;9695;7709;5440;20840;15535;10871;5852;46620;15767;9049;5220;972;457;455;547;5677;2564;1885;1555;1183;1630;1714;1249;110836;61028;44046;27072;1853;981;687;367;4334;2425;1321;893;83662;40997;27629;16512;7832;4651;4054;3351
2011-07;38111;15721;11471;8978;63501;32734;19579;10253;6993;11264;12285;7340;966;554;317;221;1668;660;340;175;241;324;326;162;74;52;45;42;4846;1961;1083;854;297;792;410;255;17808;10635;8197;6150;22603;16856;11598;6443;49864;17307;9843;5867;987;454;390;515;5681;2677;1893;1452;1123;1631;1749;1286;108605;59719;43335;26571;1983;1036;711;379;5217;2805;1538;1151;90275;44798;29638;18460;7791;4762;4032;3253
2011-08;37102;15390;11367;8448;61648;32220;19238;10063;6568;10958;12212;7144;1012;576;324;248;1710;692;344;172;276;370;320;154;87;69;41;50;5873;2403;1231;944;314;948;478;324;18299;10965;8505;6359;23814;17791;12370;6643;53005;18163;10488;6065;1006;497;445;542;5847;2651;1819;1591;1210;1703;1847;1341;105318;58568;42817;25655;2073;1131;705;376;6274;3420;1750;1318;95118;46919;31363;19067;8063;4851;4111;3474
2011-09;35681;14489;10793;8111;60242;31316;18609;9408;6477;10732;12030;6977;1061;571;401;281;1806;733;349;169;293;399;413;188;100;71;35;46;6478;2732;1373;1099;346;1059;541;370;18067;10858;8631;6161;24445;18869;12721;6801;54727;18927;10585;6345;1043;422;498;500;6120;2774;1959;1519;1321;1681;1891;1339;102400;56537;41432;24496;2199;1203;797;403;6924;3862;1949;1515;97239;48654;31937;19307;8484;4877;4348;3358
2011-10;35013;13917;10490;7991;59113;30764;18476;9338;5939;10056;11534;6883;1076;571;383;260;1806;638;341;167;264;367;362;156;108;76;63;48;6346;2504;1313;1108;326;948;532;371;17522;10455;8112;6099;23386;17484;11712;6672;52613;17919;10155;5970;1015;481;417;509;5639;2713;1860;1557;1134;1590;1877;1312;100065;54737;40500;24212;2178;1081;766;371;6780;3528;1908;1527;93521;45858;29979;18741;7788;4784;4154;3378
