Source: Wittgenstein Centre for Demography and Global Human Capital (2023). Wittgenstein Centre Data Explorer Version 3.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Population Size by Education (000's)"
"De facto population in a country or region, classified by sex and by five-year age groups. Available by level of educational attainment, in all scenarios, and at all geographical scales. Figures are presented in thousands."
"Medium (SSP2)"
" "
"Area","Year","Age","Sex","Education","Population"
"Brazil",2020,"15--19","Female","Total",7974.6
"Brazil",2025,"15--19","Female","Total",7493.9
"Chile",2020,"15--19","Female","Total",617.1
"Chile",2025,"15--19","Female","Total",587.4
"Costa Rica",2020,"15--19","Female","Total",184.4
"Costa Rica",2025,"15--19","Female","Total",183.2
"Mexico",2020,"15--19","Female","Total",5402.1
"Mexico",2025,"15--19","Female","Total",5354.5
"Brazil",2020,"20--24","Female","Total",8466.8
"Brazil",2025,"20--24","Female","Total",7952.8
"Chile",2020,"20--24","Female","Total",722
"Chile",2025,"20--24","Female","Total",618.5
"Costa Rica",2020,"20--24","Female","Total",197.6
"Costa Rica",2025,"20--24","Female","Total",185.4
"Mexico",2020,"20--24","Female","Total",5301.4
"Mexico",2025,"20--24","Female","Total",5347.9
"Brazil",2020,"25--29","Female","Total",8457.9
"Brazil",2025,"25--29","Female","Total",8436.7
"Chile",2020,"25--29","Female","Total",799.1
"Chile",2025,"25--29","Female","Total",721.5
"Costa Rica",2020,"25--29","Female","Total",206.9
"Costa Rica",2025,"25--29","Female","Total",197.9
"Mexico",2020,"25--29","Female","Total",5184.4
"Mexico",2025,"25--29","Female","Total",5239.9
"Brazil",2020,"30--34","Female","Total",8732
"Brazil",2025,"30--34","Female","Total",8420.6
"Chile",2020,"30--34","Female","Total",771.1
"Chile",2025,"30--34","Female","Total",798.3
"Costa Rica",2020,"30--34","Female","Total",210.7
"Costa Rica",2025,"30--34","Female","Total",207.2
"Mexico",2020,"30--34","Female","Total",4913.3
"Mexico",2025,"30--34","Female","Total",5129.3
"Brazil",2020,"35--39","Female","Total",8709.6
"Brazil",2025,"35--39","Female","Total",8679.9
"Chile",2020,"35--39","Female","Total",703.8
"Chile",2025,"35--39","Female","Total",770
"Costa Rica",2020,"35--39","Female","Total",195.8
"Costa Rica",2025,"35--39","Female","Total",210.6
"Mexico",2020,"35--39","Female","Total",4668.7
"Mexico",2025,"35--39","Female","Total",4862.8
"Brazil",2020,"40--44","Female","Total",7925.1
"Brazil",2025,"40--44","Female","Total",8634.5
"Chile",2020,"40--44","Female","Total",664.4
"Chile",2025,"40--44","Female","Total",701.8
"Costa Rica",2020,"40--44","Female","Total",173.7
"Costa Rica",2025,"40--44","Female","Total",195.4
"Mexico",2020,"40--44","Female","Total",4418.1
"Mexico",2025,"40--44","Female","Total",4611.4
"Brazil",2020,"45--49","Female","Total",7108.4
"Brazil",2025,"45--49","Female","Total",7827.2
"Chile",2020,"45--49","Female","Total",640.9
"Chile",2025,"45--49","Female","Total",660.6
"Costa Rica",2020,"45--49","Female","Total",157.2
"Costa Rica",2025,"45--49","Female","Total",172.9
"Mexico",2020,"45--49","Female","Total",4055.3
"Mexico",2025,"45--49","Female","Total",4346
"Brazil",2020,"15--19","Female","No Education",153.7
"Brazil",2025,"15--19","Female","No Education",115.5
"Chile",2020,"15--19","Female","No Education",1.7
"Chile",2025,"15--19","Female","No Education",1.5
"Costa Rica",2020,"15--19","Female","No Education",1
"Costa Rica",2025,"15--19","Female","No Education",0.9
"Mexico",2020,"15--19","Female","No Education",40.8
"Mexico",2025,"15--19","Female","No Education",32.7
"Brazil",2020,"20--24","Female","No Education",204.3
"Brazil",2025,"20--24","Female","No Education",153.7
"Chile",2020,"20--24","Female","No Education",2.6
"Chile",2025,"20--24","Female","No Education",1.9
"Costa Rica",2020,"20--24","Female","No Education",1.4
"Costa Rica",2025,"20--24","Female","No Education",1.1
"Mexico",2020,"20--24","Female","No Education",52.2
"Mexico",2025,"20--24","Female","No Education",42
"Brazil",2020,"25--29","Female","No Education",283.1
"Brazil",2025,"25--29","Female","No Education",204
"Chile",2020,"25--29","Female","No Education",3.9
"Chile",2025,"25--29","Female","No Education",2.8
"Costa Rica",2020,"25--29","Female","No Education",1.9
"Costa Rica",2025,"25--29","Female","No Education",1.4
"Mexico",2020,"25--29","Female","No Education",61.9
"Mexico",2025,"25--29","Female","No Education",53.5
"Brazil",2020,"30--34","Female","No Education",297.4
"Brazil",2025,"30--34","Female","No Education",282.2
"Chile",2020,"30--34","Female","No Education",4.6
"Chile",2025,"30--34","Female","No Education",4
"Costa Rica",2020,"30--34","Female","No Education",2.7
"Costa Rica",2025,"30--34","Female","No Education",1.9
"Mexico",2020,"30--34","Female","No Education",86.5
"Mexico",2025,"30--34","Female","No Education",63.3
"Brazil",2020,"35--39","Female","No Education",380.7
"Brazil",2025,"35--39","Female","No Education",295.6
"Chile",2020,"35--39","Female","No Education",4.8
"Chile",2025,"35--39","Female","No Education",4.7
"Costa Rica",2020,"35--39","Female","No Education",3.4
"Costa Rica",2025,"35--39","Female","No Education",2.8
"Mexico",2020,"35--39","Female","No Education",120.6
"Mexico",2025,"35--39","Female","No Education",87.8
"Brazil",2020,"40--44","Female","No Education",475.9
"Brazil",2025,"40--44","Female","No Education",377.1
"Chile",2020,"40--44","Female","No Education",5
"Chile",2025,"40--44","Female","No Education",4.9
"Costa Rica",2020,"40--44","Female","No Education",3.9
"Costa Rica",2025,"40--44","Female","No Education",3.5
"Mexico",2020,"40--44","Female","No Education",152.5
"Mexico",2025,"40--44","Female","No Education",121.1
"Brazil",2020,"45--49","Female","No Education",532.9
"Brazil",2025,"45--49","Female","No Education",469.2
"Chile",2020,"45--49","Female","No Education",5.9
"Chile",2025,"45--49","Female","No Education",5.1
"Costa Rica",2020,"45--49","Female","No Education",4.2
"Costa Rica",2025,"45--49","Female","No Education",3.9
"Mexico",2020,"45--49","Female","No Education",162.4
"Mexico",2025,"45--49","Female","No Education",151.6
"Brazil",2020,"15--19","Female","Incomplete Primary",190.7
"Brazil",2025,"15--19","Female","Incomplete Primary",131.5
"Chile",2020,"15--19","Female","Incomplete Primary",11.7
"Chile",2025,"15--19","Female","Incomplete Primary",9.9
"Costa Rica",2020,"15--19","Female","Incomplete Primary",4.6
"Costa Rica",2025,"15--19","Female","Incomplete Primary",3.7
"Mexico",2020,"15--19","Female","Incomplete Primary",75
"Mexico",2025,"15--19","Female","Incomplete Primary",56.2
"Brazil",2020,"20--24","Female","Incomplete Primary",275.6
"Brazil",2025,"20--24","Female","Incomplete Primary",190.6
"Chile",2020,"20--24","Female","Incomplete Primary",10.7
"Chile",2025,"20--24","Female","Incomplete Primary",11.8
"Costa Rica",2020,"20--24","Female","Incomplete Primary",6.9
"Costa Rica",2025,"20--24","Female","Incomplete Primary",5.1
"Mexico",2020,"20--24","Female","Incomplete Primary",82.1
"Mexico",2025,"20--24","Female","Incomplete Primary",77.2
"Brazil",2020,"25--29","Female","Incomplete Primary",371.8
"Brazil",2025,"25--29","Female","Incomplete Primary",275
"Chile",2020,"25--29","Female","Incomplete Primary",8.4
"Chile",2025,"25--29","Female","Incomplete Primary",10.8
"Costa Rica",2020,"25--29","Female","Incomplete Primary",9.6
"Costa Rica",2025,"25--29","Female","Incomplete Primary",7.3
"Mexico",2020,"25--29","Female","Incomplete Primary",108.2
"Mexico",2025,"25--29","Female","Incomplete Primary",83.9
"Brazil",2020,"30--34","Female","Incomplete Primary",522.3
"Brazil",2025,"30--34","Female","Incomplete Primary",370.3
"Chile",2020,"30--34","Female","Incomplete Primary",9.4
"Chile",2025,"30--34","Female","Incomplete Primary",8.6
"Costa Rica",2020,"30--34","Female","Incomplete Primary",13.5
"Costa Rica",2025,"30--34","Female","Incomplete Primary",9.8
"Mexico",2020,"30--34","Female","Incomplete Primary",157.2
"Mexico",2025,"30--34","Female","Incomplete Primary",109.1
"Brazil",2020,"35--39","Female","Incomplete Primary",741.1
"Brazil",2025,"35--39","Female","Incomplete Primary",518.4
"Chile",2020,"35--39","Female","Incomplete Primary",12.5
"Chile",2025,"35--39","Female","Incomplete Primary",9.5
"Costa Rica",2020,"35--39","Female","Incomplete Primary",18.6
"Costa Rica",2025,"35--39","Female","Incomplete Primary",13.6
"Mexico",2020,"35--39","Female","Incomplete Primary",233.5
"Mexico",2025,"35--39","Female","Incomplete Primary",156.9
"Brazil",2020,"40--44","Female","Incomplete Primary",980.8
"Brazil",2025,"40--44","Female","Incomplete Primary",733.1
