country,educ,age,var
bra,less_7,15-24,-30.6
bra,less_7,25-29,-19.3
bra,less_7,30-34,-19.9
bra,less_7,35+,-17.1
bra,8_11,15-24,-7.4
bra,8_11,25-29,-0.4
bra,8_11,30-34,-6.0
bra,8_11,35+,0.6
bra,12_more,15-24,-15.5
bra,12_more,25-29,2.8
bra,12_more,30-34,-2.6
bra,12_more,35+,5.6
chi,less_7,15-24,-24.0
chi,less_7,25-29,-14.0
chi,less_7,30-34,-5.2
chi,less_7,35+,-12.4
chi,8_11,15-24,-18.3
chi,8_11,25-29,-9.4
chi,8_11,30-34,-6.0
chi,8_11,35+,-6.3
chi,12_more,15-24,-25.4
chi,12_more,25-29,-13.3
chi,12_more,30-34,-3.2
chi,12_more,35+,-3.8
crc,less_7,15-24,-35.9
crc,less_7,25-29,-19.6
crc,less_7,30-34,-19.9
crc,less_7,35+,-17.1
crc,8_11,15-24,-15.9
crc,8_11,25-29,-4.7
crc,8_11,30-34,-4.8
crc,8_11,35+,6.6
crc,12_more,15-24,6.2
crc,12_more,25-29,-4.5
crc,12_more,30-34,1.3
crc,12_more,35+,10.6
mex,less_7,15-24,-10.9
mex,less_7,25-29,-13.3
mex,less_7,30-34,-12.6
mex,less_7,35+,-12.0
mex,8_11,15-24,-11.4
mex,8_11,25-29,-5.1
mex,8_11,30-34,1.0
mex,8_11,35+,4.9
mex,12_more,15-24,-12.0
mex,12_more,25-29,-11.1
mex,12_more,30-34,-1.3
mex,12_more,35+,-2.7
