Source: Wittgenstein Centre for Demography and Global Human Capital (2023). Wittgenstein Centre Data Explorer Version 3.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Fertility Rate by Education"
"Number of births occurring to women in a particular age group by level of education attainment during a five-year period divided by the number of women in that age group. Available in all scenarios, and at all geographical scales. It is expressed in births per 1,000 women."
"Medium (SSP2)"
" "
"Area","Period","Age","Education","Rate"
"Brazil","2020-2025","15--19","No Education",80.2
"Chile","2020-2025","15--19","No Education",64.7
"Costa Rica","2020-2025","15--19","No Education",67.8
"Cuba","2020-2025","15--19","No Education",83.1
"Mexico","2020-2025","15--19","No Education",83.8
"Brazil","2020-2025","20--24","No Education",115.5
"Chile","2020-2025","20--24","No Education",95.4
"Costa Rica","2020-2025","20--24","No Education",114.2
"Cuba","2020-2025","20--24","No Education",161.1
"Mexico","2020-2025","20--24","No Education",152.5
"Brazil","2020-2025","25--29","No Education",103.7
"Chile","2020-2025","25--29","No Education",110.1
"Costa Rica","2020-2025","25--29","No Education",99.6
"Cuba","2020-2025","25--29","No Education",143.1
"Mexico","2020-2025","25--29","No Education",150.8
"Brazil","2020-2025","30--34","No Education",77.8
"Chile","2020-2025","30--34","No Education",107.5
"Costa Rica","2020-2025","30--34","No Education",78.2
"Cuba","2020-2025","30--34","No Education",89.8
"Mexico","2020-2025","30--34","No Education",99.2
"Brazil","2020-2025","35--39","No Education",41.5
"Chile","2020-2025","35--39","No Education",60.4
"Costa Rica","2020-2025","35--39","No Education",43.2
"Cuba","2020-2025","35--39","No Education",37.8
"Mexico","2020-2025","35--39","No Education",55.5
"Brazil","2020-2025","40--44","No Education",11.7
"Chile","2020-2025","40--44","No Education",15.8
"Costa Rica","2020-2025","40--44","No Education",11.8
"Cuba","2020-2025","40--44","No Education",7.3
"Mexico","2020-2025","40--44","No Education",12.1
"Brazil","2020-2025","45--49","No Education",1
"Chile","2020-2025","45--49","No Education",0.8
"Costa Rica","2020-2025","45--49","No Education",0.9
"Cuba","2020-2025","45--49","No Education",0.4
"Mexico","2020-2025","45--49","No Education",2.6
"Brazil","2020-2025","15--19","Incomplete Primary",80.2
"Chile","2020-2025","15--19","Incomplete Primary",64.7
"Costa Rica","2020-2025","15--19","Incomplete Primary",67.8
"Cuba","2020-2025","15--19","Incomplete Primary",83.1
"Mexico","2020-2025","15--19","Incomplete Primary",83.8
"Brazil","2020-2025","20--24","Incomplete Primary",115.5
"Chile","2020-2025","20--24","Incomplete Primary",95.4
"Costa Rica","2020-2025","20--24","Incomplete Primary",114.2
"Cuba","2020-2025","20--24","Incomplete Primary",161.1
"Mexico","2020-2025","20--24","Incomplete Primary",152.5
"Brazil","2020-2025","25--29","Incomplete Primary",103.7
"Chile","2020-2025","25--29","Incomplete Primary",110.1
"Costa Rica","2020-2025","25--29","Incomplete Primary",99.6
"Cuba","2020-2025","25--29","Incomplete Primary",143.1
"Mexico","2020-2025","25--29","Incomplete Primary",150.8
"Brazil","2020-2025","30--34","Incomplete Primary",77.8
"Chile","2020-2025","30--34","Incomplete Primary",107.5
"Costa Rica","2020-2025","30--34","Incomplete Primary",78.2
"Cuba","2020-2025","30--34","Incomplete Primary",89.8
"Mexico","2020-2025","30--34","Incomplete Primary",99.2
"Brazil","2020-2025","35--39","Incomplete Primary",41.5
"Chile","2020-2025","35--39","Incomplete Primary",60.4
"Costa Rica","2020-2025","35--39","Incomplete Primary",43.2
"Cuba","2020-2025","35--39","Incomplete Primary",37.8
"Mexico","2020-2025","35--39","Incomplete Primary",55.5
"Brazil","2020-2025","40--44","Incomplete Primary",11.7
"Chile","2020-2025","40--44","Incomplete Primary",15.8
"Costa Rica","2020-2025","40--44","Incomplete Primary",11.8
"Cuba","2020-2025","40--44","Incomplete Primary",7.3
"Mexico","2020-2025","40--44","Incomplete Primary",12.1
"Brazil","2020-2025","45--49","Incomplete Primary",1
"Chile","2020-2025","45--49","Incomplete Primary",0.8
"Costa Rica","2020-2025","45--49","Incomplete Primary",0.9
